"id";"id_str";"last_id_str";"retweet_count";"favorite_count";"consulted_in";"createdAt";"created_at";"updated_at"
274;"179147542";"393503201372041216";0;3;"2021-07-14 12:58:47";"2021-07-14 12:58:47";"2021-07-14 12:58:47";"2021-07-14 12:58:47"
275;"323263308";"1415314260016734208";1;0;"2021-07-14 12:58:49";"2021-07-14 12:58:49";"2021-07-14 12:58:49";"2021-07-14 12:58:49"
276;"140480459";"1415326018504638467";0;0;"2021-07-14 12:58:52";"2021-07-14 12:58:52";"2021-07-14 12:58:52";"2021-07-14 12:58:52"
277;"1576755078";"1415333981839572993";1;0;"2021-07-14 12:58:54";"2021-07-14 12:58:54";"2021-07-14 12:58:54";"2021-07-14 12:58:54"
278;"2654800357";"1415337764426498049";0;3;"2021-07-14 12:58:55";"2021-07-14 12:58:55";"2021-07-14 12:58:55";"2021-07-14 12:58:55"
279;"3254270357";"1356325339681710082";0;7;"2021-07-14 12:58:56";"2021-07-14 12:58:56";"2021-07-14 12:58:56";"2021-07-14 12:58:56"
280;"137548563";"1415332408551936007";2;9;"2021-07-14 12:58:58";"2021-07-14 12:58:58";"2021-07-14 12:58:58";"2021-07-14 12:58:58"
281;"3092387621";"1057803224026177536";0;8;"2021-07-14 12:58:59";"2021-07-14 12:58:59";"2021-07-14 12:58:59";"2021-07-14 12:58:59"
282;"1113965533542719488";"1414946773915811843";0;1;"2021-07-14 12:59:01";"2021-07-14 12:59:01";"2021-07-14 12:59:01";"2021-07-14 12:59:01"
283;"25311569";"1413418938961219584";1;2;"2021-07-14 12:59:02";"2021-07-14 12:59:02";"2021-07-14 12:59:02";"2021-07-14 12:59:02"
284;"163165805";"1415113233539772423";0;0;"2021-07-14 12:59:04";"2021-07-14 12:59:04";"2021-07-14 12:59:04";"2021-07-14 12:59:04"
285;"97445850";"1413600452428673034";0;1;"2021-07-14 12:59:05";"2021-07-14 12:59:05";"2021-07-14 12:59:05";"2021-07-14 12:59:05"
286;"1233024544270684161";"1414224985393180673";0;0;"2021-07-14 12:59:07";"2021-07-14 12:59:07";"2021-07-14 12:59:07";"2021-07-14 12:59:07"
287;"948927124316008449";"1414554999271698432";0;8;"2021-07-14 12:59:08";"2021-07-14 12:59:08";"2021-07-14 12:59:08";"2021-07-14 12:59:08"
288;"2970617333";"1415009809800339459";0;1;"2021-07-14 12:59:11";"2021-07-14 12:59:11";"2021-07-14 12:59:11";"2021-07-14 12:59:11"
289;"48122425";"1415267917982314500";36;0;"2021-07-14 12:59:13";"2021-07-14 12:59:13";"2021-07-14 12:59:13";"2021-07-14 12:59:13"
290;"1063411413845241856";"1414638758356467717";0;1;"2021-07-14 12:59:14";"2021-07-14 12:59:14";"2021-07-14 12:59:14";"2021-07-14 12:59:14"
291;"1067790946090315776";"1415106838228504585";1;4;"2021-07-14 12:59:16";"2021-07-14 12:59:16";"2021-07-14 12:59:16";"2021-07-14 12:59:16"
292;"1350454263386959872";"1411367407365627904";7;0;"2021-07-14 12:59:17";"2021-07-14 12:59:17";"2021-07-14 12:59:17";"2021-07-14 12:59:17"
293;"1104120809482866688";"1415277216368402433";0;0;"2021-07-14 12:59:19";"2021-07-14 12:59:19";"2021-07-14 12:59:19";"2021-07-14 12:59:19"
294;"1325494376";"1415052624148189185";2;2;"2021-07-14 12:59:21";"2021-07-14 12:59:21";"2021-07-14 12:59:21";"2021-07-14 12:59:21"
295;"25577585";"1415265896352866311";11;0;"2021-07-14 12:59:22";"2021-07-14 12:59:22";"2021-07-14 12:59:22";"2021-07-14 12:59:22"
296;"74849428";"1415101952011145222";0;2;"2021-07-14 12:59:23";"2021-07-14 12:59:23";"2021-07-14 12:59:23";"2021-07-14 12:59:23"
297;"176832003";"1325554603207876615";1;13;"2021-07-14 12:59:25";"2021-07-14 12:59:25";"2021-07-14 12:59:25";"2021-07-14 12:59:25"
298;"71882668";"1415086571716497416";1;98;"2021-07-14 12:59:26";"2021-07-14 12:59:26";"2021-07-14 12:59:26";"2021-07-14 12:59:26"
299;"78714361";"1415249279254474762";5;0;"2021-07-14 12:59:28";"2021-07-14 12:59:28";"2021-07-14 12:59:28";"2021-07-14 12:59:28"
300;"139194124";"1413483744430755843";1;0;"2021-07-14 12:59:29";"2021-07-14 12:59:29";"2021-07-14 12:59:29";"2021-07-14 12:59:29"
301;"863587335757336585";"1415018742589820938";0;1;"2021-07-14 12:59:31";"2021-07-14 12:59:31";"2021-07-14 12:59:31";"2021-07-14 12:59:31"
302;"57906445";"1415322889272844292";1;13;"2021-07-14 12:59:32";"2021-07-14 12:59:32";"2021-07-14 12:59:32";"2021-07-14 12:59:32"
303;"717744189774151680";"1413300707881635848";2;61;"2021-07-14 12:59:34";"2021-07-14 12:59:34";"2021-07-14 12:59:34";"2021-07-14 12:59:34"
304;"140669124";"1413634332175052800";30;0;"2021-07-14 12:59:35";"2021-07-14 12:59:35";"2021-07-14 12:59:35";"2021-07-14 12:59:35"
305;"429751053";"1412396559782879235";1;8;"2021-07-14 12:59:37";"2021-07-14 12:59:37";"2021-07-14 12:59:37";"2021-07-14 12:59:37"
306;"164696186";"1415298128283058182";1;1;"2021-07-14 12:59:38";"2021-07-14 12:59:38";"2021-07-14 12:59:38";"2021-07-14 12:59:38"
307;"179650596";"1415272630517698561";11;0;"2021-07-14 12:59:40";"2021-07-14 12:59:40";"2021-07-14 12:59:40";"2021-07-14 12:59:40"
308;"264391266";"1415264533829017603";36;0;"2021-07-14 12:59:41";"2021-07-14 12:59:41";"2021-07-14 12:59:41";"2021-07-14 12:59:41"
309;"48515258";"1415296214556368897";1;0;"2021-07-14 12:59:43";"2021-07-14 12:59:43";"2021-07-14 12:59:43";"2021-07-14 12:59:43"
310;"3181396187";"1415324710607495169";2;7;"2021-07-14 12:59:44";"2021-07-14 12:59:44";"2021-07-14 12:59:44";"2021-07-14 12:59:44"
311;"2900528733";"1415238300957347842";0;2;"2021-07-14 12:59:46";"2021-07-14 12:59:46";"2021-07-14 12:59:46";"2021-07-14 12:59:46"
312;"1267667511895633921";"1415090782999089155";18;0;"2021-07-14 12:59:47";"2021-07-14 12:59:47";"2021-07-14 12:59:47";"2021-07-14 12:59:47"
313;"176269387";"1405151412493901824";42;0;"2021-07-14 12:59:49";"2021-07-14 12:59:49";"2021-07-14 12:59:49";"2021-07-14 12:59:49"
314;"58538668";"1415073439233216513";22;129;"2021-07-14 12:59:50";"2021-07-14 12:59:50";"2021-07-14 12:59:50";"2021-07-14 12:59:50"
315;"626138471";"1415028415015628804";2;5;"2021-07-14 12:59:52";"2021-07-14 12:59:52";"2021-07-14 12:59:52";"2021-07-14 12:59:52"
316;"55152459";"1415280425094819843";0;0;"2021-07-14 12:59:53";"2021-07-14 12:59:53";"2021-07-14 12:59:53";"2021-07-14 12:59:53"
