"id";"id_str";"followers_count";"created_at";"updated_at"
3522;"1335942718040793091";436;"2021-07-05 14:11:14";"2021-07-05 14:11:14"
3529;"25577585";633184;"2021-07-05 14:13:15";"2021-07-05 14:13:15"
3535;"798892388366381056";478964;"2021-07-05 14:13:16";"2021-07-05 14:13:16"
3544;"1081389350137532416";63;"2021-07-05 14:15:13";"2021-07-05 14:15:13"
3548;"798892388366381056";478965;"2021-07-05 14:15:14";"2021-07-05 14:15:14"
3561;"1335942718040793091";436;"2021-07-05 14:17:14";"2021-07-05 14:17:14"
3574;"1081389350137532416";63;"2021-07-05 14:19:14";"2021-07-05 14:19:14"
3587;"1081389350137532416";63;"2021-07-05 14:21:18";"2021-07-05 14:21:18"
3588;"798892388366381056";478982;"2021-07-05 14:23:14";"2021-07-05 14:23:14"
3600;"1335942718040793091";436;"2021-07-05 14:23:15";"2021-07-05 14:23:15"
3605;"798892388366381056";478984;"2021-07-05 14:25:13";"2021-07-05 14:25:13"
3613;"1335942718040793091";436;"2021-07-05 14:25:14";"2021-07-05 14:25:14"
3614;"1084783141";6385;"2021-07-05 14:27:13";"2021-07-05 14:27:13"
3626;"1081389350137532416";63;"2021-07-05 14:27:14";"2021-07-05 14:27:14"
3629;"1335942718040793091";436;"2021-07-05 14:29:13";"2021-07-05 14:29:13"
3639;"2670726740";2642005;"2021-07-05 14:29:14";"2021-07-05 14:29:14"
3640;"1081389350137532416";63;"2021-07-05 14:31:18";"2021-07-05 14:31:18"
3643;"1084783141";6385;"2021-07-05 14:31:19";"2021-07-05 14:31:19"
3646;"342994346";255779;"2021-07-05 14:31:20";"2021-07-05 14:31:20"
3649;"1335942718040793091";436;"2021-07-05 14:31:21";"2021-07-05 14:31:21"
3650;"1335942718040793091";436;"2021-07-05 14:31:22";"2021-07-05 14:31:22"
3652;"127285692";3549;"2021-07-05 14:31:25";"2021-07-05 14:31:25"
3665;"1335942718040793091";436;"2021-07-05 14:33:14";"2021-07-05 14:33:14"
3678;"1081389350137532416";63;"2021-07-05 14:40:24";"2021-07-05 14:40:24"
3691;"1081389350137532416";63;"2021-07-05 14:43:46";"2021-07-05 14:43:46"
3704;"798892388366381056";479018;"2021-07-05 14:51:25";"2021-07-05 14:51:25"
