"id";"max_id_str";"id_str";"count";"created_at";"updated_at"
843;"1412797061305618435";"119373950";1;"2021-07-13 23:49:35";"2021-07-13 23:49:35"
844;"1415134079645851648";"2970617333";15;"2021-07-13 23:49:41";"2021-07-13 23:49:41"
845;"1415122883450482698";"48122425";15;"2021-07-13 23:49:47";"2021-07-13 23:49:47"
846;"1415118159493877760";"1063411413845241856";15;"2021-07-13 23:49:53";"2021-07-13 23:49:53"
847;"1415108284592295938";"1067790946090315776";15;"2021-07-13 23:49:59";"2021-07-13 23:49:59"
848;"";"1350454263386959872";0;"2021-07-13 23:50:05";"2021-07-13 23:50:05"
849;"1415065964643852289";"1104120809482866688";15;"2021-07-13 23:50:11";"2021-07-13 23:50:11"
850;"1415139148718018567";"1325494376";15;"2021-07-13 23:50:17";"2021-07-13 23:50:17"
851;"1415140768856018946";"25577585";1;"2021-07-13 23:50:23";"2021-07-13 23:50:23"
852;"1415133865337819142";"74849428";15;"2021-07-13 23:50:29";"2021-07-13 23:50:29"
853;"1412807746068664320";"176832003";3;"2021-07-13 23:50:35";"2021-07-13 23:50:35"
854;"1415135020436570113";"71882668";15;"2021-07-13 23:50:41";"2021-07-13 23:50:41"
855;"1415122883450482698";"78714361";5;"2021-07-13 23:50:47";"2021-07-13 23:50:47"
856;"";"139194124";0;"2021-07-13 23:50:53";"2021-07-13 23:50:53"
857;"1415016830310227972";"863587335757336585";2;"2021-07-13 23:50:59";"2021-07-13 23:50:59"
858;"1415122883450482698";"57906445";15;"2021-07-13 23:51:05";"2021-07-13 23:51:05"
859;"1414281228933533701";"717744189774151680";15;"2021-07-13 23:51:11";"2021-07-13 23:51:11"
860;"";"140669124";0;"2021-07-13 23:51:17";"2021-07-13 23:51:17"
861;"1415127958839255044";"429751053";15;"2021-07-13 23:51:23";"2021-07-13 23:51:23"
862;"1415072442058428416";"164696186";15;"2021-07-13 23:51:29";"2021-07-13 23:51:29"
863;"";"179650596";0;"2021-07-13 23:51:35";"2021-07-13 23:51:35"
864;"1414281228933533701";"264391266";15;"2021-07-13 23:51:41";"2021-07-13 23:51:41"
